Intensity     Wavelength         Spectrum
   30         11688.0017         NeI    
  150         11766.7924         NeI    
  130         11789.0435         NeI    
   30         11789.8891         NeI    
   70         11984.912          NeI    
  200         12066.334          NeI    
   40         12459.389          NeI    
   60         12689.201          NeI    
   80         12912.014          NeI    
   40         13219.241          NeI    
   50         15230.714          NeI    
   20         17161.929          NeI    
   20         18035.812          NeI    
   40         18083.181          NeI    
    9         18083.263          NeI    
   15         18221.087          NeI    
   13         18227.016          NeI    
  140         18276.642          NeI    
  100         18282.614          NeI    
   70         18303.967          NeI    
   20         18359.094          NeI    
   60         18384.826          NeI    
   90         18389.937          NeI    
   40         18402.836          NeI    
   60         18422.402          NeI    
   13         18458.640          NeI    
   40         18475.800          NeI    
   70         18591.541          NeI    
  100         18597.698          NeI    
   16         18618.908          NeI    
   20         18625.159          NeI    
   30         21041.27           NeI    
   30         21708.11           NeI    
   13         22247.36           NeI    
   13         22428.14           NeI    
   80         22530.38           NeI    
   13         22661.79           NeI    
   25         23100.48           NeI    
   40         23260.27           NeI    
   50         23372.96           NeI    
   30         23565.33           NeI    
  170         23636.48           NeI    
   12         23701.66           NeI    
   60         23709.13           NeI    
  110         23951.40           NeI    
   50         23956.43           NeI    
   60         23978.16           NeI    
   11         24098.57           NeI    
   20         24161.43           NeI    
   30         24249.61           NeI    
   70         24365.01           NeI    
   40         24371.61           NeI    
   20         24447.86           NeI    
   30         24459.39           NeI    
   17         24776.49           NeI    
   30         24928.89           NeI    
   13         25161.70           NeI    
   50         25524.33           NeI    
    6         28386.20           NeI    
    6         30200.49           NeI    
    8         33173.09           NeI    
   17         33352.38           NeI    
    5         33899.81           NeI    
    4         33903.02           NeI    
   12         33913.10           NeI    
    4         34131.34           NeI    
    6         34471.43           NeI    
    8         35834.81           NeI    
